# begin r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00:
# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  6  3 -0.000000000000000E+00   0.000000000000000E+00
  6  4 -1.560918024986242E+00   5.351718942809972E+00
  6  5 -0.000000000000000E+00  -0.000000000000000E+00
  6  6 -2.656962624690366E+00  -7.065105161108471E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  5.000000000000000E-01 -1.500000000000000E+00  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  0.000000000000000E+00   0.000000000000000E+00
  1  1  1.727470747356677E-01  -5.182412242070032E-01
  2  0 -7.884789131313003E-01  -0.000000000000000E+00
  2  1  0.000000000000000E+00  -0.000000000000000E+00
  2  2 -7.725484040463794E-01  -5.794113030347845E-01
  3  0 -0.000000000000000E+00  -0.000000000000000E+00
  3  1 -4.039752301426884E-01   1.211925690428065E+00
  3  2 -0.000000000000000E+00  -0.000000000000000E+00
  3  3 -1.355977426806549E+00   9.387536031737643E-01
  4  0  1.983479004660081E+00   0.000000000000000E+00
  4  1 -0.000000000000000E+00   0.000000000000000E+00
  4  2  1.672616358893224E+00   1.254462269169918E+00
  4  3 -0.000000000000000E+00   0.000000000000000E+00
  4  4  7.744322117787198E-01   2.655196154669897E+00
  5  0  0.000000000000000E+00   0.000000000000000E+00
  5  1  1.000880151800672E+00  -3.002640455402017E+00
  5  2  0.000000000000000E+00   0.000000000000000E+00
  5  3  2.810792718068077E+00  -1.945933420200977E+00
  5  4  0.000000000000000E+00   0.000000000000000E+00
  5  5  4.583305508978476E+00   1.740495762903224E-01
  6  0 -4.966343927158473E+00  -0.000000000000000E+00
  6  1  0.000000000000000E+00  -0.000000000000000E+00
  6  2 -4.071190536673225E+00  -3.053392902504918E+00
  6  3  0.000000000000000E+00  -0.000000000000000E+00
  6  4 -1.560918024986242E+00  -5.351718942809972E+00
  6  5  0.000000000000000E+00   0.000000000000000E+00
  6  6  2.656962624690366E+00  -7.065105161108471E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -1.500000000000000E+00  0.000000000000000E+00 -5.000000000000000E-01
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0 -2.443012559514600E-01  -0.000000000000000E+00
  1  1 -5.182412242070032E-01   0.000000000000000E+00
  2  0 -5.519352391919101E-01  -0.000000000000000E+00
  2  1  5.794113030347845E-01  -0.000000000000000E+00
  2  2  8.691169545521767E-01  -0.000000000000000E+00
  3  0  1.166176039344111E+00   0.000000000000000E+00
  3  1  6.059628452140324E-01  -0.000000000000000E+00
  3  2 -1.149733660987443E+00   0.000000000000000E+00
  3  3 -1.408130404760647E+00   0.000000000000000E+00
  4  0  2.314058838770093E-01   0.000000000000000E+00
  4  1 -2.040189187727239E+00   0.000000000000000E+00
  4  2 -5.645080211264628E-01   0.000000000000000E+00
  4  3  2.112195607140970E+00  -0.000000000000000E+00
  4  4  2.240321755502725E+00  -0.000000000000000E+00
  5  0 -3.154004008665769E+00  -0.000000000000000E+00
  5  1  5.705016865263832E-01  -0.000000000000000E+00
  5  2  3.336580767044897E+00  -0.000000000000000E+00
  5  3  2.918900130301459E-01  -0.000000000000000E+00
  5  4 -3.715153336336433E+00   0.000000000000000E+00
  5  5 -3.524503919879017E+00   0.000000000000000E+00
  6  0  2.563626735199204E+00   0.000000000000000E+00
  6  1  4.499545092101521E+00  -0.000000000000000E+00
  6  2 -2.152641996265968E+00   0.000000000000000E+00
  6  3 -5.221301863283409E+00   0.000000000000000E+00
  6  4  4.515512857995925E-01  -0.000000000000000E+00
  6  5  6.353889801848810E+00  -0.000000000000000E+00
  6  6  5.502629981247942E+00  -0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -5.000000000000000E-01  0.000000000000000E+00 -1.500000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0 -7.329037678543799E-01  -0.000000000000000E+00
  1  1 -1.727470747356677E-01   0.000000000000000E+00
  2  0  1.340414152323210E+00   0.000000000000000E+00
  2  1  5.794113030347845E-01  -0.000000000000000E+00
  2  2  9.656855050579742E-02  -0.000000000000000E+00
  3  0 -2.099116870819399E+00  -0.000000000000000E+00
  3  1 -1.413913305499409E+00   0.000000000000000E+00
  3  2 -3.832445536624809E-01   0.000000000000000E+00
  3  3 -5.215297795409803E-02   0.000000000000000E+00
  4  0  2.876044556757117E+00   0.000000000000000E+00
  4  1  2.927227964999952E+00  -0.000000000000000E+00
  4  2  1.108108337766761E+00  -0.000000000000000E+00
  4  3  2.346884007934411E-01  -0.000000000000000E+00
  4  4  2.765829327781143E-02  -0.000000000000000E+00
  5  0 -3.322120097192561E+00  -0.000000000000000E+00
  5  1 -5.414761621241635E+00   0.000000000000000E+00
  5  2 -2.701041573322058E+00   0.000000000000000E+00
  5  3 -7.675626268570517E-01   0.000000000000000E+00
  5  4 -1.375982717161642E-01   0.000000000000000E+00
  5  5 -1.450413135752682E-02   0.000000000000000E+00
  6  0  2.730495891151719E+00   0.000000000000000E+00
  6  1  9.134269650489351E+00  -0.000000000000000E+00
  6  2  5.867603360980283E+00  -0.000000000000000E+00
  6  3  2.106841102728393E+00  -0.000000000000000E+00
  6  4  4.961489436563410E-01  -0.000000000000000E+00
  6  5  7.844308397344210E-02  -0.000000000000000E+00
  6  6  7.548189274688540E-03  -0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  1.500000000000000E+00  0.000000000000000E+00 -5.000000000000000E-01
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0 -2.443012559514600E-01  -0.000000000000000E+00
  1  1  5.182412242070032E-01   0.000000000000000E+00
  2  0 -5.519352391919101E-01  -0.000000000000000E+00
  2  1 -5.794113030347845E-01  -0.000000000000000E+00
  2  2  8.691169545521767E-01   0.000000000000000E+00
  3  0  1.166176039344111E+00   0.000000000000000E+00
  3  1 -6.059628452140324E-01  -0.000000000000000E+00
  3  2 -1.149733660987443E+00  -0.000000000000000E+00
  3  3  1.408130404760647E+00   0.000000000000000E+00
  4  0  2.314058838770093E-01   0.000000000000000E+00
  4  1  2.040189187727239E+00   0.000000000000000E+00
  4  2 -5.645080211264628E-01  -0.000000000000000E+00
  4  3 -2.112195607140970E+00  -0.000000000000000E+00
  4  4  2.240321755502725E+00   0.000000000000000E+00
  5  0 -3.154004008665769E+00  -0.000000000000000E+00
  5  1 -5.705016865263832E-01  -0.000000000000000E+00
  5  2  3.336580767044897E+00   0.000000000000000E+00
  5  3 -2.918900130301459E-01  -0.000000000000000E+00
  5  4 -3.715153336336433E+00  -0.000000000000000E+00
  5  5  3.524503919879017E+00   0.000000000000000E+00
  6  0  2.563626735199204E+00   0.000000000000000E+00
  6  1 -4.499545092101521E+00  -0.000000000000000E+00
  6  2 -2.152641996265968E+00  -0.000000000000000E+00
  6  3  5.221301863283409E+00   0.000000000000000E+00
  6  4  4.515512857995925E-01   0.000000000000000E+00
  6  5 -6.353889801848810E+00  -0.000000000000000E+00
  6  6  5.502629981247942E+00   0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -1.500000000000000E+00 -5.000000000000000E-01  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  0.000000000000000E+00   0.000000000000000E+00
  1  1 -5.182412242070032E-01  -1.727470747356677E-01
  2  0 -7.884789131313003E-01  -0.000000000000000E+00
  2  1 -0.000000000000000E+00  -0.000000000000000E+00
  2  2  7.725484040463794E-01   5.794113030347845E-01
  3  0 -0.000000000000000E+00  -0.000000000000000E+00
  3  1  1.211925690428065E+00   4.039752301426884E-01
  3  2  0.000000000000000E+00   0.000000000000000E+00
  3  3 -9.387536031737643E-01  -1.355977426806549E+00
  4  0  1.983479004660081E+00   0.000000000000000E+00
  4  1  0.000000000000000E+00   0.000000000000000E+00
  4  2 -1.672616358893224E+00  -1.254462269169918E+00
  4  3 -0.000000000000000E+00  -0.000000000000000E+00
  4  4  7.744322117787198E-01   2.655196154669897E+00
  5  0  0.000000000000000E+00   0.000000000000000E+00
  5  1 -3.002640455402017E+00  -1.000880151800672E+00
  5  2 -0.000000000000000E+00  -0.000000000000000E+00
  5  3  1.945933420200977E+00   2.810792718068077E+00
  5  4  0.000000000000000E+00   0.000000000000000E+00
  5  5  1.740495762903224E-01  -4.583305508978476E+00
  6  0 -4.966343927158473E+00  -0.000000000000000E+00
  6  1 -0.000000000000000E+00  -0.000000000000000E+00
  6  2  4.071190536673225E+00   3.053392902504918E+00
  6  3  0.000000000000000E+00   0.000000000000000E+00
  6  4 -1.560918024986242E+00  -5.351718942809972E+00
  6  5  0.000000000000000E+00  -0.000000000000000E+00
  6  6 -2.656962624690366E+00   7.065105161108471E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -1.500000000000000E+00  5.000000000000000E-01  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  0.000000000000000E+00   0.000000000000000E+00
  1  1 -5.182412242070032E-01   1.727470747356677E-01
  2  0 -7.884789131313003E-01  -0.000000000000000E+00
  2  1 -0.000000000000000E+00   0.000000000000000E+00
  2  2  7.725484040463794E-01  -5.794113030347845E-01
  3  0 -0.000000000000000E+00  -0.000000000000000E+00
  3  1  1.211925690428065E+00  -4.039752301426884E-01
  3  2  0.000000000000000E+00  -0.000000000000000E+00
  3  3 -9.387536031737643E-01   1.355977426806549E+00
  4  0  1.983479004660081E+00   0.000000000000000E+00
  4  1  0.000000000000000E+00  -0.000000000000000E+00
  4  2 -1.672616358893224E+00   1.254462269169918E+00
  4  3 -0.000000000000000E+00   0.000000000000000E+00
  4  4  7.744322117787198E-01  -2.655196154669897E+00
  5  0  0.000000000000000E+00   0.000000000000000E+00
  5  1 -3.002640455402017E+00   1.000880151800672E+00
  5  2 -0.000000000000000E+00   0.000000000000000E+00
  5  3  1.945933420200977E+00  -2.810792718068077E+00
  5  4  0.000000000000000E+00  -0.000000000000000E+00
  5  5  1.740495762903224E-01   4.583305508978476E+00
  6  0 -4.966343927158473E+00  -0.000000000000000E+00
  6  1 -0.000000000000000E+00   0.000000000000000E+00
  6  2  4.071190536673225E+00  -3.053392902504918E+00
  6  3  0.000000000000000E+00  -0.000000000000000E+00
  6  4 -1.560918024986242E+00   5.351718942809972E+00
  6  5  0.000000000000000E+00   0.000000000000000E+00
  6  6 -2.656962624690366E+00  -7.065105161108471E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -5.000000000000000E-01 -1.500000000000000E+00  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  0.000000000000000E+00   0.000000000000000E+00
  1  1 -1.727470747356677E-01  -5.182412242070032E-01
  2  0 -7.884789131313003E-01  -0.000000000000000E+00
  2  1 -0.000000000000000E+00  -0.000000000000000E+00
  2  2 -7.725484040463794E-01   5.794113030347845E-01
  3  0 -0.000000000000000E+00  -0.000000000000000E+00
  3  1  4.039752301426884E-01   1.211925690428065E+00
  3  2 -0.000000000000000E+00   0.000000000000000E+00
  3  3  1.355977426806549E+00   9.387536031737643E-01
  4  0  1.983479004660081E+00   0.000000000000000E+00
  4  1  0.000000000000000E+00   0.000000000000000E+00
  4  2  1.672616358893224E+00  -1.254462269169918E+00
  4  3  0.000000000000000E+00   0.000000000000000E+00
  4  4  7.744322117787198E-01  -2.655196154669897E+00
  5  0  0.000000000000000E+00   0.000000000000000E+00
  5  1 -1.000880151800672E+00  -3.002640455402017E+00
  5  2  0.000000000000000E+00  -0.000000000000000E+00
  5  3 -2.810792718068077E+00  -1.945933420200977E+00
  5  4  0.000000000000000E+00  -0.000000000000000E+00
  5  5 -4.583305508978476E+00   1.740495762903224E-01
  6  0 -4.966343927158473E+00  -0.000000000000000E+00
  6  1 -0.000000000000000E+00  -0.000000000000000E+00
  6  2 -4.071190536673225E+00   3.053392902504918E+00
  6  3 -0.000000000000000E+00  -0.000000000000000E+00
  6  4 -1.560918024986242E+00   5.351718942809972E+00
  6  5 -0.000000000000000E+00   0.000000000000000E+00
  6  6  2.656962624690366E+00   7.065105161108471E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -5.000000000000000E-01  0.000000000000000E+00  1.500000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  7.329037678543799E-01   0.000000000000000E+00
  1  1 -1.727470747356677E-01   0.000000000000000E+00
  2  0  1.340414152323210E+00   0.000000000000000E+00
  2  1 -5.794113030347845E-01   0.000000000000000E+00
  2  2  9.656855050579742E-02  -0.000000000000000E+00
  3  0  2.099116870819399E+00   0.000000000000000E+00
  3  1 -1.413913305499409E+00   0.000000000000000E+00
  3  2  3.832445536624809E-01  -0.000000000000000E+00
  3  3 -5.215297795409803E-02   0.000000000000000E+00
  4  0  2.876044556757117E+00   0.000000000000000E+00
  4  1 -2.927227964999952E+00   0.000000000000000E+00
  4  2  1.108108337766761E+00  -0.000000000000000E+00
  4  3 -2.346884007934411E-01   0.000000000000000E+00
  4  4  2.765829327781143E-02  -0.000000000000000E+00
  5  0  3.322120097192561E+00   0.000000000000000E+00
  5  1 -5.414761621241635E+00   0.000000000000000E+00
  5  2  2.701041573322058E+00  -0.000000000000000E+00
  5  3 -7.675626268570517E-01   0.000000000000000E+00
  5  4  1.375982717161642E-01  -0.000000000000000E+00
  5  5 -1.450413135752682E-02   0.000000000000000E+00
  6  0  2.730495891151719E+00   0.000000000000000E+00
  6  1 -9.134269650489351E+00   0.000000000000000E+00
  6  2  5.867603360980283E+00  -0.000000000000000E+00
  6  3 -2.106841102728393E+00   0.000000000000000E+00
  6  4  4.961489436563410E-01  -0.000000000000000E+00
  6  5 -7.844308397344210E-02   0.000000000000000E+00
  6  6  7.548189274688540E-03  -0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00 -5.000000000000000E-01  1.500000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  7.329037678543799E-01   0.000000000000000E+00
  1  1  0.000000000000000E+00  -1.727470747356677E-01
  2  0  1.340414152323210E+00   0.000000000000000E+00
  2  1  0.000000000000000E+00  -5.794113030347845E-01
  2  2 -9.656855050579742E-02  -0.000000000000000E+00
  3  0  2.099116870819399E+00   0.000000000000000E+00
  3  1  0.000000000000000E+00  -1.413913305499409E+00
  3  2 -3.832445536624809E-01  -0.000000000000000E+00
  3  3 -0.000000000000000E+00   5.215297795409803E-02
  4  0  2.876044556757117E+00   0.000000000000000E+00
  4  1  0.000000000000000E+00  -2.927227964999952E+00
  4  2 -1.108108337766761E+00  -0.000000000000000E+00
  4  3 -0.000000000000000E+00   2.346884007934411E-01
  4  4  2.765829327781143E-02   0.000000000000000E+00
  5  0  3.322120097192561E+00   0.000000000000000E+00
  5  1  0.000000000000000E+00  -5.414761621241635E+00
  5  2 -2.701041573322058E+00  -0.000000000000000E+00
  5  3 -0.000000000000000E+00   7.675626268570517E-01
  5  4  1.375982717161642E-01   0.000000000000000E+00
  5  5  0.000000000000000E+00  -1.450413135752682E-02
  6  0  2.730495891151719E+00   0.000000000000000E+00
  6  1  0.000000000000000E+00  -9.134269650489351E+00
  6  2 -5.867603360980283E+00  -0.000000000000000E+00
  6  3 -0.000000000000000E+00   2.106841102728393E+00
  6  4  4.961489436563410E-01   0.000000000000000E+00
  6  5  0.000000000000000E+00  -7.844308397344210E-02
  6  6 -7.548189274688540E-03  -0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R = -1.500000000000000E+00  0.000000000000000E+00  5.000000000000000E-01
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0  2.443012559514600E-01   0.000000000000000E+00
  1  1 -5.182412242070032E-01   0.000000000000000E+00
  2  0 -5.519352391919101E-01  -0.000000000000000E+00
  2  1 -5.794113030347845E-01   0.000000000000000E+00
  2  2  8.691169545521767E-01  -0.000000000000000E+00
  3  0 -1.166176039344111E+00  -0.000000000000000E+00
  3  1  6.059628452140324E-01  -0.000000000000000E+00
  3  2  1.149733660987443E+00  -0.000000000000000E+00
  3  3 -1.408130404760647E+00   0.000000000000000E+00
  4  0  2.314058838770093E-01   0.000000000000000E+00
  4  1  2.040189187727239E+00  -0.000000000000000E+00
  4  2 -5.645080211264628E-01   0.000000000000000E+00
  4  3 -2.112195607140970E+00   0.000000000000000E+00
  4  4  2.240321755502725E+00  -0.000000000000000E+00
  5  0  3.154004008665769E+00   0.000000000000000E+00
  5  1  5.705016865263832E-01  -0.000000000000000E+00
  5  2 -3.336580767044897E+00   0.000000000000000E+00
  5  3  2.918900130301459E-01  -0.000000000000000E+00
  5  4  3.715153336336433E+00  -0.000000000000000E+00
  5  5 -3.524503919879017E+00   0.000000000000000E+00
  6  0  2.563626735199204E+00   0.000000000000000E+00
  6  1 -4.499545092101521E+00   0.000000000000000E+00
  6  2 -2.152641996265968E+00   0.000000000000000E+00
  6  3  5.221301863283409E+00  -0.000000000000000E+00
  6  4  4.515512857995925E-01  -0.000000000000000E+00
  6  5 -6.353889801848810E+00   0.000000000000000E+00
  6  6  5.502629981247942E+00  -0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00 -1.500000000000000E+00 -5.000000000000000E-01
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0 -2.443012559514600E-01  -0.000000000000000E+00
  1  1  0.000000000000000E+00  -5.182412242070032E-01
  2  0 -5.519352391919101E-01  -0.000000000000000E+00
  2  1 -0.000000000000000E+00   5.794113030347845E-01
  2  2 -8.691169545521767E-01  -0.000000000000000E+00
  3  0  1.166176039344111E+00   0.000000000000000E+00
  3  1 -0.000000000000000E+00   6.059628452140324E-01
  3  2  1.149733660987443E+00   0.000000000000000E+00
  3  3 -0.000000000000000E+00   1.408130404760647E+00
  4  0  2.314058838770093E-01   0.000000000000000E+00
  4  1  0.000000000000000E+00  -2.040189187727239E+00
  4  2  5.645080211264628E-01   0.000000000000000E+00
  4  3  0.000000000000000E+00  -2.112195607140970E+00
